,Date,Calculated Price
1050,1987-07-01,154.81339705132828
1049,1987-06-01,145.43297045686077
1048,1987-05-01,141.03274869749882
1047,1987-04-01,134.9595681315778
1046,1987-03-01,134.73052623697495
1045,1987-02-01,135.89925987187306
1044,1987-01-01,130.19664674446545
1043,1986-12-01,122.2963054146773
1042,1986-11-01,114.64920353864939
1041,1986-10-01,112.72166309964547
1040,1986-09-01,108.87826050385925
1039,1986-08-01,108.97633920914748
1038,1986-07-01,111.72476851460681
1037,1986-06-01,109.23422811361637
1036,1986-05-01,111.23648484074987
1035,1986-04-01,107.86045267211273
1034,1986-03-01,107.33451355568985
1033,1986-02-01,104.4719812689214
1032,1986-01-01,98.39139317095629
1031,1985-12-01,93.08551861017625
1030,1985-11-01,92.39257430290446
1029,1985-10-01,87.75056919261513
1028,1985-09-01,82.45684006071708
1027,1985-08-01,81.23826606967201
1026,1985-07-01,82.79480846888708
1025,1985-06-01,84.3553830554122
1024,1985-05-01,82.49915213243247
1023,1985-04-01,80.4791260681226
1022,1985-03-01,78.33280715215358
1021,1985-02-01,77.54187997639436
1020,1985-01-01,77.91587618206829
1019,1984-12-01,73.65145683152309
1018,1984-11-01,70.34523097566677
1017,1984-10-01,70.84825357605676
1016,1984-09-01,69.94595081060002
1015,1984-08-01,70.23390984094792
1014,1984-07-01,69.25738077206185
1013,1984-06-01,63.41670247418904
1012,1984-05-01,63.999094231697484
1011,1984-04-01,65.2053940210876
1010,1984-03-01,65.3688160612407
1009,1984-02-01,65.03712671499422
1008,1984-01-01,64.7522169603686
1007,1983-12-01,68.23924223876973
1006,1983-11-01,67.17783248549885
1005,1983-10-01,67.26527734604872
1004,1983-09-01,68.04094410889006
1003,1983-08-01,67.60153413699956
1002,1983-07-01,65.4356152715125
1001,1983-06-01,67.0515578148504
1000,1983-05-01,66.57884799409233
999,1983-04-01,65.43375724235118
998,1983-03-01,62.66400808499442
997,1983-02-01,60.138203536462974
996,1983-01-01,57.89756766772213
995,1982-12-01,56.69006919389222
994,1982-11-01,54.54639583747929
993,1982-10-01,53.8145183874105
992,1982-09-01,51.49714678221101
991,1982-08-01,47.29715905787198
990,1982-07-01,42.191934931197125
989,1982-06-01,41.86123120468015
988,1982-05-01,41.76100479317653
987,1982-04-01,44.0842444771208
986,1982-03-01,43.834388462882366
985,1982-02-01,41.561001671453845
984,1982-01-01,42.73185448432433
983,1981-12-01,43.563925460622215
982,1981-11-01,45.76042590401494
981,1981-10-01,45.226750251052515
980,1981-09-01,43.89242066290034
979,1981-08-01,43.14599495026083
978,1981-07-01,47.05124858261813
977,1981-06-01,46.67782597481957
976,1981-05-01,47.6401571492341
975,1981-04-01,47.23394522033919
974,1981-03-01,48.0117353327294
973,1981-02-01,47.40027182617179
972,1981-01-01,45.51591302685979
971,1980-12-01,46.957508539007314
970,1980-11-01,46.95281325768155
969,1980-10-01,47.542338252006424
968,1980-09-01,45.44722134786963
967,1980-08-01,43.98685767312198
966,1980-07-01,42.77212920373589
965,1980-06-01,41.32572869926173
964,1980-05-01,39.36908516648731
963,1980-04-01,36.841741686774576
962,1980-03-01,35.074011506830324
961,1980-02-01,35.485644988699235
960,1980-01-01,38.90116749473716
959,1979-12-01,37.26165468844555
958,1979-11-01,36.06781017176029
957,1979-10-01,34.5477108924907
956,1979-09-01,34.658618471599816
955,1979-08-01,35.859925992343314
954,1979-07-01,35.3160586885398
953,1979-06-01,33.63113864254814
952,1979-05-01,33.16026290923697
951,1979-04-01,32.3767456641642
950,1979-03-01,33.00045424947936
949,1979-02-01,32.217567362568936
948,1979-01-01,31.480913975541267
947,1978-12-01,31.818186755145813
946,1978-11-01,30.538618634365882
945,1978-10-01,29.963322835916287
944,1978-09-01,31.687101137813332
943,1978-08-01,32.589839697432204
942,1978-07-01,32.45999969863765
941,1978-06-01,30.243174973108783
940,1978-05-01,30.26133177217209
939,1978-04-01,30.05993023956699
938,1978-03-01,28.49282487162748
937,1978-02-01,27.180029449229686
936,1978-01-01,27.106840978587503
935,1977-12-01,27.372352800754825
934,1977-11-01,28.33283593908998
933,1977-10-01,28.355520355374278
932,1977-09-01,28.080333091081677
931,1977-08-01,28.711997025645886
930,1977-07-01,29.054844187053114
929,1977-06-01,29.672022249849995
928,1977-05-01,29.29702038887243
927,1977-04-01,29.035699096999437
926,1977-03-01,29.018288124124965
925,1977-02-01,29.367764521936003
924,1977-01-01,29.382455749810905
923,1976-12-01,30.095724418530068
922,1976-11-01,30.259123686436826
921,1976-10-01,29.154180254780638
920,1976-09-01,29.26245132468196
919,1976-08-01,30.201724971289053
918,1976-07-01,29.482355497158387
917,1976-06-01,29.648386461341904
916,1976-05-01,28.877360924653654
915,1976-04-01,28.619782878744953
914,1976-03-01,28.728952899764057
913,1976-02-01,28.41637279897533
912,1976-01-01,28.190846030729496
911,1975-12-01,27.05974854168698
910,1975-11-01,24.700820211489713
909,1975-10-01,24.99577030104201
908,1975-09-01,24.496050863428078
907,1975-08-01,23.336239747954725
906,1975-07-01,23.536298283363312
905,1975-06-01,25.30784761651969
904,1975-05-01,25.19948981033525
903,1975-04-01,24.491680251079067
902,1975-03-01,22.951626137268363
901,1975-02-01,22.61466759017476
900,1975-01-01,21.543934067042734
899,1974-12-01,19.44222910120272
898,1974-11-01,17.89766096032654
897,1974-10-01,19.058312171575487
896,1974-09-01,18.37122823556534
895,1974-08-01,17.944157292015372
894,1974-07-01,19.940168120919402
893,1974-06-01,20.719210433208023
892,1974-05-01,23.37192378252456
891,1974-04-01,23.264905218519374
890,1974-03-01,23.912946056654718
889,1974-02-01,25.123918950046985
888,1974-01-01,24.02593377646264
887,1973-12-01,24.634403543999426
886,1973-11-01,24.222619020648406
885,1973-10-01,25.9927234903406
884,1973-09-01,27.904158336382825
883,1973-08-01,26.769146523774776
882,1973-07-01,26.244261297818408
881,1973-06-01,26.681843531738927
880,1973-05-01,26.362853010314126
879,1973-04-01,26.89812571198258
878,1973-03-01,27.607642114320623
877,1973-02-01,28.065103298079315
876,1973-01-01,28.449167053298847
875,1972-12-01,29.42915801520518
874,1972-11-01,29.140665427473195
873,1972-10-01,28.482714717498972
872,1972-09-01,27.06196172683988
871,1972-08-01,26.948776864011034
870,1972-07-01,27.278850960634713
869,1972-06-01,26.285267836418107
868,1972-05-01,26.417354609465434
867,1972-04-01,26.28069499548889
866,1972-03-01,26.487295903536474
865,1972-02-01,26.157708772996717
864,1972-01-01,25.489874072302396
863,1971-12-01,24.968041994614946
862,1971-11-01,23.911168353394892
861,1971-10-01,22.313520299920576
860,1971-09-01,23.333180278072337
859,1971-08-01,23.77540276958665
858,1971-07-01,23.197778095020638
857,1971-06-01,23.55582666025654
856,1971-05-01,23.664684207611554
855,1971-04-01,24.04947582074345
854,1971-03-01,24.319421398264183
853,1971-02-01,23.458494644800023
852,1971-01-01,22.81288986171353
851,1970-12-01,21.903878887867045
850,1970-11-01,21.039169040310295
849,1970-10-01,19.63341642432838
848,1970-09-01,19.592272651759686
847,1970-08-01,19.11627734584807
846,1970-07-01,17.97994483243799
845,1970-06-01,17.412303730813473
844,1970-05-01,17.32222814446227
843,1970-04-01,17.369124781371973
842,1970-03-01,19.559825204247716
841,1970-02-01,20.112930801282996
840,1970-01-01,19.716626606492497
839,1969-12-01,20.368415915798035
838,1969-11-01,20.489302802331792
837,1969-10-01,21.574500160399907
836,1969-09-01,21.3608912479207
835,1969-08-01,21.076360382753528
834,1969-07-01,20.944410595998736
833,1969-06-01,21.003219610909284
832,1969-05-01,21.926317581072432
831,1969-04-01,23.073048070159352
830,1969-03-01,22.29064638214603
829,1969-02-01,21.795879908229228
828,1969-01-01,22.220287397521897
827,1968-12-01,22.2737443840436
826,1968-11-01,23.19940046249724
