,symbol,companyName,marketCap,sector,industry,beta,price,lastAnnualDividend,volume,exchange,exchangeShortName,country,isEtf,isFund,isActivelyTrading
187,HAL,Halliburton Company,31963562820,Energy,Oil & Gas Equipment & Services,2.003,35.91,0.68,1097451,New York Stock Exchange,NYSE,US,False,False,True
188,FICO,Fair Isaac Corporation,31761977884,Technology,Software—Application,1.221,1278.04,0.0,37828,New York Stock Exchange,NYSE,US,False,False,True
189,EXR,Extra Space Storage Inc.,31521501375,Real Estate,REIT—Industrial,0.746,148.985,6.48,232479,New York Stock Exchange,NYSE,US,False,False,True
190,ED,"Consolidated Edison, Inc.",31068259200,Utilities,Utilities—Regulated Electric,0.351,89.92,3.32,187948,New York Stock Exchange,NYSE,US,False,False,True
191,HUBS,"HubSpot, Inc.",30967186950,Technology,Software—Application,1.586,611.1,0.0,128003,New York Stock Exchange,NYSE,US,False,False,True
192,XYL,Xylem Inc.,30450931500,Industrials,Specialty Industrial Machinery,1.107,125.95,1.44,159765,New York Stock Exchange,NYSE,US,False,False,True
193,DFS,Discover Financial Services,30214427450,Financial Services,Credit Services,1.445,120.59,2.8,244062,New York Stock Exchange,NYSE,US,False,False,True
194,DD,"DuPont de Nemours, Inc.",29961580250,Basic Materials,Specialty Chemicals,1.222,71.75,1.52,406926,New York Stock Exchange,NYSE,US,False,False,True
195,HPQ,HP Inc.,29819208475,Technology,Computer Hardware,1.056,30.475,1.1,1806270,New York Stock Exchange,NYSE,US,False,False,True
196,FTV,Fortive Corporation,29607278800,Technology,Scientific & Technical Instruments,1.176,84.26,0.32,130112,New York Stock Exchange,NYSE,US,False,False,True
197,DVN,Devon Energy Corporation,29410025000,Energy,Oil & Gas E&P,2.2,46.315,2.42,1803615,New York Stock Exchange,NYSE,US,False,False,True
198,ADM,Archer-Daniels-Midland Company,29261281660,Consumer Defensive,Farm Products,0.751,54.86,2.0,1146500,New York Stock Exchange,NYSE,US,False,False,True
199,HIG,"The Hartford Financial Services Group, Inc.",29058975000,Financial Services,Insurance—Diversified,0.869,97.35,1.88,401962,New York Stock Exchange,NYSE,US,False,False,True
200,CBRE,"CBRE Group, Inc.",28484753280,Real Estate,Real Estate Services,1.421,93.18,0.0,189576,New York Stock Exchange,NYSE,US,False,False,True
201,MTD,Mettler-Toledo International Inc.,28037650619,Healthcare,Diagnostics & Research,1.147,1305.37,0.0,30618,New York Stock Exchange,NYSE,US,False,False,True
202,CAH,"Cardinal Health, Inc.",27838016850,Healthcare,Medical Distribution,0.691,114.45,2.0,401663,New York Stock Exchange,NYSE,US,False,False,True
203,GLW,Corning Incorporated,27823252400,Technology,Electronic Components,1.074,32.6,1.12,471309,New York Stock Exchange,NYSE,US,False,False,True
204,RMD,ResMed Inc.,27460045410,Healthcare,Medical Instruments & Supplies,0.655,186.69,1.92,95471,New York Stock Exchange,NYSE,US,False,False,True
205,DAL,"Delta Air Lines, Inc.",27116106600,Industrials,Airlines,1.431,42.15,0.4,2310099,New York Stock Exchange,NYSE,US,False,False,True
206,HWM,Howmet Aerospace Inc.,26938509120,Industrials,Specialty Industrial Machinery,1.265,65.655,0.18,1461449,New York Stock Exchange,NYSE,US,False,False,True
207,EIX,Edison International,26614790208,Utilities,Utilities—Regulated Electric,0.966,69.2149,3.12,299095,New York Stock Exchange,NYSE,US,False,False,True
208,KEYS,"Keysight Technologies, Inc.",26604079960,Technology,Scientific & Technical Instruments,1.051,152.41,0.0,226068,New York Stock Exchange,NYSE,US,False,False,True
209,RBLX,Roblox Corporation,26585640011,Communication Services,Electronic Gaming & Multimedia,1.656,42.09,0.0,3202235,New York Stock Exchange,NYSE,US,False,False,True
210,ZBH,"Zimmer Biomet Holdings, Inc.",26573492700,Healthcare,Medical Devices,1.02254,127.275,0.96,151578,New York Stock Exchange,NYSE,US,False,False,True
211,AVB,"AvalonBay Communities, Inc.",26419490500,Real Estate,REIT—Residential,0.927,186.02,6.8,79276,New York Stock Exchange,NYSE,US,False,False,True
212,WST,"West Pharmaceutical Services, Inc.",26150991261,Healthcare,Medical Instruments & Supplies,1.03,356.77,0.8,75889,New York Stock Exchange,NYSE,US,False,False,True
213,BF-B,Brown-Forman Corporation,26128600664,Consumer Defensive,Beverages—Wineries & Distilleries,0.788,54.87,0.87,338866,New York Stock Exchange,NYSE,US,False,False,True
214,WEC,"WEC Energy Group, Inc.",25748281390,Utilities,Utilities—Regulated Electric,0.398,81.595,3.34,309968,New York Stock Exchange,NYSE,US,False,False,True
215,VRT,Vertiv Holdings Co,25733318900,Industrials,Electrical Equipment & Parts,1.742,67.37,0.1,4027028,New York Stock Exchange,NYSE,US,False,False,True
216,CHD,"Church & Dwight Co., Inc.",25460069880,Consumer Defensive,Household & Personal Products,0.529,104.44,1.14,211386,New York Stock Exchange,NYSE,US,False,False,True
217,WY,Weyerhaeuser Company,25409216430,Real Estate,REIT—Specialty,1.448,34.83,0.8,466309,New York Stock Exchange,NYSE,US,False,False,True
218,RKT,"Rocket Companies, Inc.",25297046695,Financial Services,Mortgage Finance,2.365,12.74,0.0,789807,New York Stock Exchange,NYSE,US,False,False,True
219,ARES,Ares Management Corporation,25212000840,Financial Services,Asset Management,1.189,132.78,3.24,121740,New York Stock Exchange,NYSE,US,False,False,True
220,WAB,Westinghouse Air Brake Technologies Corporation,24823006380,Industrials,Railroads,1.406,140.22,0.71,116181,New York Stock Exchange,NYSE,US,False,False,True
221,RJF,"Raymond James Financial, Inc.",24784449960,Financial Services,Capital Markets,1.053,118.57,1.8,177728,New York Stock Exchange,NYSE,US,False,False,True
222,BRO,"Brown & Brown, Inc.",24226006530,Financial Services,Insurance Brokers,0.785,84.765,0.52,150261,New York Stock Exchange,NYSE,US,False,False,True
223,NVR,"NVR, Inc.",24159396575,Consumer Cyclical,Residential Construction,1.131,7582.63,0.0,4424,New York Stock Exchange,NYSE,US,False,False,True
224,MTB,M&T Bank Corporation,23905545280,Financial Services,Banks—Regional,0.785,143.47,5.2,242028,New York Stock Exchange,NYSE,US,False,False,True
225,EQR,Equity Residential,23870151060,Real Estate,REIT—Residential,0.849,62.89,2.65,258760,New York Stock Exchange,NYSE,US,False,False,True
226,BR,"Broadridge Financial Solutions, Inc.",23728702560,Technology,Information Technology Services,1.001,201.48,3.2,45871,New York Stock Exchange,NYSE,US,False,False,True
227,DOV,Dover Corporation,23712541500,Industrials,Specialty Industrial Machinery,1.27,169.5,2.04,126688,New York Stock Exchange,NYSE,US,False,False,True
228,HPE,Hewlett Packard Enterprise Company,23569000000,Technology,Communication Equipment,1.201,18.13,0.52,5273192,New York Stock Exchange,NYSE,US,False,False,True
229,IRM,Iron Mountain Incorporated,23520501914,Real Estate,REIT—Specialty,0.956,80.4736,2.6,331370,New York Stock Exchange,NYSE,US,False,False,True
230,BLDR,"Builders FirstSource, Inc.",23374678600,Industrials,Building Products & Equipment,2.041,191.69,0.0,542480,New York Stock Exchange,NYSE,US,False,False,True
231,PHM,"PulteGroup, Inc.",23366257920,Consumer Cyclical,Residential Construction,1.563,110.16,0.8,323843,New York Stock Exchange,NYSE,US,False,False,True
232,PINS,"Pinterest, Inc.",23357027894,Communication Services,Internet Content & Information,1.003,34.4,0.0,3952510,New York Stock Exchange,NYSE,US,False,False,True
233,DTW,DTE Energy Company JR SUB DB 2017 E,23310809898,,,0.0,24.82,1.31252,1122,New York Stock Exchange,NYSE,US,False,False,True
234,MOH,"Molina Healthcare, Inc.",23298680000,Healthcare,Healthcare Plans,0.472,398.95,0.0,68286,New York Stock Exchange,NYSE,US,False,False,True
235,DTE,DTE Energy Company,23222701711,Utilities,Utilities—Regulated Electric,0.656,112.59,3.88,324654,New York Stock Exchange,NYSE,US,False,False,True
236,AWK,"American Water Works Company, Inc.",23209927125,Utilities,Utilities—Regulated Water,0.625,119.175,2.83,310605,New York Stock Exchange,NYSE,US,False,False,True
237,DTG,DTE Energy Company 2021 Series ,23199446052,,,0.0,21.3,1.09376,2458,New York Stock Exchange,NYSE,US,False,False,True
238,TRGP,Targa Resources Corp.,23134478850,Energy,Oil & Gas Midstream,2.187,103.67,2.0,183108,New York Stock Exchange,NYSE,US,False,False,True
239,DTB,DTE Energy Company 2020 Series ,23115121196,,,0.0,21.05,1.3672,1556,New York Stock Exchange,NYSE,US,False,False,True
240,DECK,Deckers Outdoor Corporation,23106770322,Consumer Cyclical,Footwear & Accessories,1.013,900.21,0.0,95022,New York Stock Exchange,NYSE,US,False,False,True
241,LYV,"Live Nation Entertainment, Inc.",23100571820,Communication Services,Entertainment,1.302,100.09,0.0,353925,New York Stock Exchange,NYSE,US,False,False,True
242,HEI,HEICO Corporation,22491424176,Industrials,Aerospace & Defense,1.166,184.2,0.2,61111,New York Stock Exchange,NYSE,US,False,False,True
243,ARE,"Alexandria Real Estate Equities, Inc.",22322854400,Real Estate,REIT—Office,1.063,127.6,5.08,145937,New York Stock Exchange,NYSE,US,False,False,True
244,BAX,Baxter International Inc.,22120537858,Healthcare,Medical Instruments & Supplies,0.621,43.5592,1.16,399764,New York Stock Exchange,NYSE,US,False,False,True
245,ETR,Entergy Corporation,21995499700,Utilities,Utilities—Regulated Electric,0.701,103.15,4.52,130619,New York Stock Exchange,NYSE,US,False,False,True
246,STT,State Street Corporation,21948309360,Financial Services,Asset Management,1.53,72.69,2.76,308341,New York Stock Exchange,NYSE,US,False,False,True
